"English","Rumi","Jawi"
"acceleration","pecutan","ڤچوتن"
"client","klien","کليئن"
"configuration","konfigurasi","کونفيݢوراسي"
"confirmation","pengesahan","ڤڠصحن"
"creative","kreatif","کرياتيف"
"definition","pentakrifan","ڤنتعريفن"
"empty","kosong","کوسوڠ"
"explicit","khusus","خصوص"
"furnace","relau","رلاو"
"leave","biar","بيار"
"mapblock","blok peta","بلوک ڤتا"
"mod","mods","مودس"
"mesh","jejaring","ججاريڠ"
"multiplayer","permainan ramai","ڤرماٴينن راماي"
"parallax occlusion","oklusi paralaks","اوکلوسي ڤارالک‌س"
"privilege","keistimewaan","کأيستيميواٴن"
"register","pendaftaran","ڤندفترن"
"remote","jarak jauh","جارق جاٴوه"
"singleplayer","pemain perseorangan","ڤماٴين ڤرسأورڠن"
"specially","khusus","خصوص"
"temperate","iklim sederhana","اقليم سدرهان"
"trim","hiasan","هياسن"
