"English","Rumi","Jawi"
"after","selepas","سلڤس"
"and","dan","دان"
"at","dekat","دکت"
"at","di","د"
"be","boleh","بوليه"
"be","jadi","جادي"
"before","sebelum","سبلوم"
"but","tetapi","تتاڤي"
"can","boleh","بوليه"
"cannot","tidak boleh","تيدق بوليه"
"cant","tidak boleh","تيدق بوليه"
"can not","tidak boleh","تيدق بوليه"
"here","sini","سيني"
"if","jika","جک"
"in","dalam","دالم"
"literal","harfiah","حرفيه"
"never","jangan","جاڠن"
"never","tidak","تيدق"
"never","tidak pernah","تيدق ڤرنه"
"no","bukan","بوکن"
"no","tiada","تياد"
"no","tidak","تيدق"
"nope","bukan","بوکن"
"not","bukan","بوکن"
"not","tiada","تياد"
"not","tidak","تيدق"
"on","atas","اتس"
"or","atau","اتاو"
"over there","sana","سان"
"s","para","ڤارا"
"show","tunjuk","تونجوق"
"so","jadi","جادي"
"that","bahawa","بهاوا"
"that","itu","ايت"
"there","sana","سان"
"there","situ","سيتو"
"this","ini","اين"
"we","kami","کامي"
