"English","Rumi","Jawi"
"absolute","mutlak","مطلق"
"account","akaun","اکاٴون"
"address","alamat","علامت"
"allow","membolehkan","ممبوليهکن"
"amount","jumlah","جومله"
"application","aplikasi","اڤليکاسي"
"audience","audiens","اٴوديئن‌س"
"automatically","secara automatik","سچارا اٴوتوماتيک"
"bug","pepijat","ڤڤيجت"
"cache","cache","کيش"
"character","aksara","اکسارا"
"circumflex","sirkumfleks","سيرکومفليک‌‌س"
"code","kod","کود"
"configuration","tatarajah","تاتاراجه"
"controller","pengawal","ڤڠاول"
"credential","kelayakan","کلايقن"
"current","semasa","سماس"
"debug","nyahpepijat","ڽهڤڤيجت"
"default","lalai","لالاي"
"device","peranti","ڤرنتي"
"disk","cakera","چکرا"
"domain","domain","دوماٴين"
"duplex","dupleks","دوڤليک‌‌س"
"element","unsur","عنصور"
"ellipse","elips","ايليڤ‌س"
"enable","membolehkan","ممبوليهکن"
"experimental","ujikaji","اوجيکاجي"
"fax","faks","فک‌س"
"feature","sifat","صيفت"
"features","sifat","صيفت"
"file","fail","فاٴيل"
"firewall","tembok api","تيمبوق اڤي"
"folder","folder","فولدر"
"format","format","فورمت"
"game","permainan","ڤرماٴينن"
"generator","penjana","ڤنجان"
"helix","heliks","هيليک‌‌س"
"horizontal","mendatar","منداتر"
"instance","tika","تيک"
"insurance","insurans","اينسورن‌س"
"jam","tersekat","ترسکت"
"limit","had","حد"
"limitation","had","حد"
"listener","pendengar","ڤندڠر"
"matrix","matriks","ماتريک‌س"
"maximum","maksimum","مکسيموم"
"MB","MB","ميݢاباٴيت (MB)"
"method","kaedah","قاعده"
"mode","mod","مود"
"network","rangkaian","رڠکاين"
"numpad","pad angka","ڤد اڠک"
"online","dalam talian","دالم تالين"
"ounce","auns","اٴون‌‌س"
"password","kata laluan","کات لالوان"
"path","laluan","لالوان"
"port","port","ڤورت"
"quality","kualiti","کواليتي"
"quote","petikan","ڤتيقن"
"result","hasil","حاصيل"
"run","berjalan","برجالن"
"screenshot","tangkap layar","تڠکڤ لاير"
"security","keselamatan","کسلامتن"
"server","pelayan","ڤلاين"
"size","saiz","ساٴيز"
"source","sumber","سومبر"
"specific","khusus","خصوص"
"spoiler","beberan","بيبيرن"
"standard","piawai","ڤياواي"
"state","keadaan","کأداٴن"
"stop","berhenti","برهنتي"
"subject","takluk","تعلوق"
"telefax","telefaks","تيليفک‌س"
"teletext","teleteks","تيليتيک‌س"
"telex","teleks","تيليک‌س"
"teraflops","teraflops","تيرافلوڤ‌‌س"
"text","teks","تيک‌س"
"text","tulisan","توليسن"
"timeout","had masa","حد ماس"
"type","jenis","جنيس"
"undo","undur","اوندور"
"unlimited","tanpa had","تنڤ حد"
"unload","nyahmuat","ڽهموات"
"upgrade","naik taraf","ناٴيق طرف"
"valid","sah","صح"
"value","nilai","نيلاي"
"videotext","videoteks","ۏيديوتيک‌س"
"volume","kekuatan bunyi","کقواتن بوڽي"
