"English","Rumi","Jawi"
"affix","afiks","افيک‌س"
"air","udara","اودارا"
"anthrax","antraks","انترک‌س"
"anticlimax","antiklimaks","انتيکليمک‌‌س"
"apex","apeks","اڤيک‌‌س"
"appendix","apendiks","اڤينديک‌‌س"
"biceps","biseps","بيسيڤ‌س"
"bioscience","biosains","بيوساٴين‌س"
"bisex","biseks","بيسيک‌س"
"calyx","kaliks","کاليک‌س"
"cervix","serviks","سرۏيک‌‌س"
"coccyx","koksiks","کوکسيک‌‌س"
"dawn","fajar","فجر"
"efflorescens","efloresens","ايفلوريسن‌س"
"emerald","zamrud","زمرود"
"equinox","ekuinoks","ايکوينوک‌س"
"exist","wujud","وجود"
"flax","flaks","فلک‌‌س"
"full","penuh","ڤنوه"
"geoscience","geosains","ݢيوساٴين‌س"
"geotextile","geotekstil","ݢيوتيکستيل"
"info","maklumat","معلومت"
"information","maklumat","معلومت"
"intersex","interseks","اينترسيک‌س"
"jurisprudence","jurisprudens","جوريسڤرودن‌س"
"mandatory","wajib","واجب"
"mean","maksud","مقصود"
"mens rea","mens rea","مين‌س ريا"
"nature","alam","عالم"
"new","baharu","بهارو"
"people","manusia","ماءنسي"
"presence","kehadiran","کحاضيرن"
"previous","dahulu","دهولو"
"problem","masalah","مسئله"
"prolapse","prolaps","ڤرولڤ‌‌س"
"public","awam","عوام"
"relapse","relaps","ريلڤ‌‌س"
"relaxe","relaks","ريلک‌س"
"responce","respons","ريسڤون‌‌س"
"science","sains","ساٴين‌س"
"triceps","triseps","تريسيڤ‌س"
"wood","kayu","کايو"
